class_id,epoch_id,topic_id,topic_uid,topic_number,display_title,quiz_link,notebook_link,doc_link,doc_links,sort_order,status
12,moderna,moderna-22,12-moderna-22,22,Unificarea Italiei,https://forms.gle/T9CcJ8xCDQ7s8nT28,https://notebooklm.google.com/notebook/be7b31d9-276d-448f-9dd2-f85555dcb16d,https://docs.google.com/document/d/1a32HGa9V5sXptJOD0TDw3e9E0IgvCfn8S-D_nTKmJDQ/edit?usp=sharing,"['https://docs.google.com/document/d/1a32HGa9V5sXptJOD0TDw3e9E0IgvCfn8S-D_nTKmJDQ/edit?usp=sharing', 'https://docs.google.com/document/d/1iIOq0S98txCUYHu_5Xb2IGJSgZvZamkzF5iKwjp-2PA/edit?usp=sharing']",51,ready
12,moderna,moderna-23,12-moderna-23,23,Consolidarea statului federativ nord-american în a doua jumătate a secolului al XIX-lea. Războiul civil în SUA.,https://forms.gle/CoSSyVdoHpRjFGMw8,https://notebooklm.google.com/notebook/af0e9d75-84fa-47f9-9aee-d32df1e8a153,https://docs.google.com/document/d/1M3l06ksOdICwNHLo-gW0igjFV-US7kfAOtENWLtQPfk/edit?usp=sharing,['https://docs.google.com/document/d/1M3l06ksOdICwNHLo-gW0igjFV-US7kfAOtENWLtQPfk/edit?usp=sharing'],52,ready
12,moderna,moderna-24,12-moderna-24,24,Civilizația industrială. Industrializarea și consecințele ei,https://forms.gle/9kf1aunPLyUhvLk6A,https://notebooklm.google.com/notebook/db73d945-8463-4c8d-9025-d38f5534d697,https://docs.google.com/document/d/15O0ayJtrfluybUkK8iPovK5ObZb3ZWmZKJy9tO8aV1Q/edit?usp=sharing,['https://docs.google.com/document/d/15O0ayJtrfluybUkK8iPovK5ObZb3ZWmZKJy9tO8aV1Q/edit?usp=sharing'],53,ready
12,moderna,moderna-25,12-moderna-25,25,Europa între afirmarea națiunilor și rivalitățile marilor puteri,https://forms.gle/rHxVRfUJTJiUJK6r9,https://notebooklm.google.com/notebook/1acdf88f-e337-46de-a880-70b412bd8406,https://docs.google.com/document/d/160jCfScv_PDVFNu91w9O9khyN5jx22Js2hZXnCckUZ8/edit?usp=sharing,['https://docs.google.com/document/d/160jCfScv_PDVFNu91w9O9khyN5jx22Js2hZXnCckUZ8/edit?usp=sharing'],54,ready
12,moderna,moderna-26,12-moderna-26,26,Obținerea independenței României,https://forms.gle/beTvsQRe4huhnWiX6,https://notebooklm.google.com/notebook/f5391fa3-2200-4cd5-a0e4-0c4527e4eb4e,https://docs.google.com/document/d/161MEoZ3OYzqSwN3zzq8pXwzhQhd225Ozji6fNkUxlN0/edit?usp=sharing,['https://docs.google.com/document/d/161MEoZ3OYzqSwN3zzq8pXwzhQhd225Ozji6fNkUxlN0/edit?usp=sharing'],55,ready
12,moderna,moderna-27,12-moderna-27,27,Realizările științei și tehnicii în epoca modernă,,,,[],56,links_pending
12,moderna,moderna-28,12-moderna-28,28,Epoca Meiji în Japonia,https://forms.gle/JvpeULNjstkubWoSA,https://notebooklm.google.com/notebook/6a5b89fd-f84f-4b31-91cd-a55023a1c7a3,https://docs.google.com/document/d/1kbH-j5hp4-quJ_kJ5g8ZgRPuPsXWEmLMlRO4Mm3NC1w/edit?usp=sharing,['https://docs.google.com/document/d/1kbH-j5hp4-quJ_kJ5g8ZgRPuPsXWEmLMlRO4Mm3NC1w/edit?usp=sharing'],57,ready
12,contemporana,contemporana-1,12-contemporana-1,1,România în Primul Război Mondial.,,,,[],58,links_pending
12,contemporana,contemporana-2,12-contemporana-2,2,Consecinţele Primului Război Mondial,,,,[],59,links_pending
12,contemporana,contemporana-3,12-contemporana-3,3,Basarabia în anii 1917-1918,,,,[],60,links_pending
12,contemporana,contemporana-4,12-contemporana-4,4,Marea Unire din 1918,,,,[],61,links_pending
12,contemporana,contemporana-5,12-contemporana-5,5,Sistemului Versailles-Washington şi Noua Ordine Internaţională,,,,[],62,links_pending
12,contemporana,contemporana-6,12-contemporana-6,6,România şi Sistemul de la Versailles,,,,[],63,links_pending
12,contemporana,contemporana-7,12-contemporana-7,7,Politica externă a României în perioada interbelică. Nicolae Titulescu - diplomat al păcii,,,,[],64,links_pending
12,contemporana,contemporana-8,12-contemporana-8,8,Relaţiile româno-sovietice în perioada interbelică,,,,[],65,links_pending
12,contemporana,contemporana-9,12-contemporana-9,9,Pactul Ribbentrop-Molotov şi impactul lui asupra destinului popoarelor din Europa,,,,[],66,links_pending
12,contemporana,contemporana-10,12-contemporana-10,10,Caracteristici generale şi specifice ale regimurilor politice din perioada interbelică,,,,[],67,links_pending
12,contemporana,contemporana-11,12-contemporana-11,11,Constituirea RASSM: politici şi impact,,,,[],68,links_pending
12,contemporana,contemporana-12,12-contemporana-12,12,",,Marea Depresiune” . New Deal - model pentru depăşirea crizei economice",,,,[],69,links_pending
12,contemporana,contemporana-13,12-contemporana-13,13,Anul 1940 în istoria românilor. Formarea RSSM şi instaurarea regimului comunist,,,,[],70,links_pending
12,contemporana,contemporana-14,12-contemporana-14,14,"Participarea României în cel de-al Doilea Război Mondial: cauze, evenimente şi consecinţe",,,,[],71,links_pending
12,contemporana,contemporana-15,12-contemporana-15,15,Basarabia şi Transnistria în perioada celui de-al Doilea Război Mondial,,,,[],72,links_pending
12,contemporana,contemporana-16,12-contemporana-16,16,Crime împotriva umanităţii: GULAG. Holocaust. Katyn,,,,[],73,links_pending
12,contemporana,contemporana-17,12-contemporana-17,17,Consecinţele celui de Al Doilea Război Mondial,,,,[],74,links_pending
12,contemporana,contemporana-18,12-contemporana-18,18,Fenomenul Miracolului economic: Germania şi Japonia,,,,[],75,links_pending
12,contemporana,contemporana-19,12-contemporana-19,19,URSS în perioada postbelică,,,,[],76,links_pending
